,rates
AED,3.744949
AFN,91.803657
ALL,117.059397
AMD,421.169883
ANG,1.838937
AOA,439.357116
ARS,132.313398
AUD,1.466092
AWG,1.8326600000000002
AZN,1.7339419999999999
BAM,1.961853
BBD,2.060225
BDT,96.373286
BGN,1.9588809999999999
BHD,0.38442000000000004
BIF,2101.704515
BMD,1.01956
BND,1.418455
BOB,7.004806
BRL,5.55051
BSD,1.020333
BTC,4.3273942e-05
BTN,81.461306
BWP,12.948883
BYN,2.575507
BYR,19983.381168
BZD,2.056775
CAD,1.308656
CDF,2041.660953
CHF,0.9833149999999999
CLF,0.03424
CLP,944.9388
CNY,6.8914159999999995
COP,4521.07686
CRC,685.665048
CUC,1.01956
CUP,27.018347
CVE,110.602947
CZK,24.520936
DJF,181.651271
DKK,7.444023
DOP,55.477054
DZD,148.937796
EGP,19.28009
ERN,15.293404
ETB,53.672613
EUR,1.0
FJD,2.247773
FKP,0.8588129999999999
GBP,0.8507929999999999
GEL,2.997816
GGP,0.8588129999999999
GHS,8.310979
GIP,0.8588129999999999
GMD,55.148495
GNF,8851.349127
GTQ,7.892493
GYD,213.475414
HKD,8.002952
HNL,25.093921
HRK,7.52578
HTG,118.991746
HUF,397.353246
IDR,15273.01275
ILS,3.509189
IMP,0.8588129999999999
INR,81.43768
IQD,1489.256938
IRR,43178.377111
ISK,139.537119
JEP,0.8588129999999999
JMD,155.295312
JOD,0.722869
JPY,139.205616
KES,121.073016
KGS,81.319416
KHR,4175.319105
KMF,473.713202
KPW,917.604229
KRW,1335.695623
KWD,0.31341399999999997
KYD,0.8503189999999999
KZT,492.183866
LAK,15358.677759
LBP,1543.037448
LKR,367.318134
LRD,155.479965
LSL,16.15001
LTL,3.010496
LVL,0.616722
LYD,4.98054
MAD,10.462124
MDL,19.692962
MGA,4294.726773
MKD,61.645247
MMK,1889.136594
MNT,3206.170371
MOP,8.249929
MRO,363.982839
MUR,45.577164
MVR,15.650127
MWK,1047.310599
MXN,20.924532
MYR,4.539099
MZN,65.078806
NAD,16.14989
NGN,423.545695
NIO,36.586045
NOK,10.129769
NPR,130.336687
NZD,1.624241
OMR,0.39252699999999996
PAB,1.020333
PEN,3.996871
PGK,3.6415800000000003
PHP,57.22384
PKR,232.889826
PLN,4.74249
PYG,6996.947782
QAR,3.7122159999999997
RON,4.932041
RSD,117.468614
RUB,60.267205
RWF,1053.635215
SAR,3.831587
SBD,8.31958
SCR,13.031202
SDG,465.42983
SEK,10.4279
SGD,1.415043
SHP,1.404348
SLL,13427.608808
SOS,595.93125
SRD,23.712424
STD,21102.838974
SVC,8.928588
SYP,2561.675171
SZL,17.269536
THB,37.407892
TJS,10.203477
TMT,3.5786569999999998
TND,3.123425
TOP,2.393163
TRY,18.069305
TTD,6.932484
TWD,30.4507
TZS,2377.614624
UAH,37.499832
UGX,3905.409578
USD,1.01956
UYU,42.711925
UZS,11142.558565
VND,23862.807971
VUV,121.221663
WST,2.774193
XAF,657.977128
XAG,0.054277
XAU,0.00059
XCD,2.7554119999999998
XDR,0.775782
XOF,657.990075
XPF,115.363236
YER,255.144744
ZAR,17.16
ZMK,9177.267225
ZMW,16.810594
ZWL,328.297989
